ds,y
12/16/2019,147
12/17/2019,147
12/18/2019,193
12/19/2019,191
12/20/2019,192
12/21/2019,168
12/22/2019,165
12/23/2019,169
12/24/2019,149
12/25/2019,103
12/26/2019,131
12/27/2019,149
12/28/2019,130
12/29/2019,137
12/30/2019,142
12/31/2019,198
1/1/2020,278
1/2/2020,187
1/3/2020,177
1/4/2020,162
1/5/2020,171
1/6/2020,157
1/7/2020,161
1/8/2020,162
1/9/2020,177
1/10/2020,206
1/11/2020,155
1/12/2020,143
1/13/2020,157
1/14/2020,171
1/15/2020,193
1/16/2020,173
1/17/2020,195
1/18/2020,152
1/19/2020,156
1/20/2020,143
1/21/2020,182
1/22/2020,183
1/23/2020,184
1/24/2020,183
1/25/2020,188
1/26/2020,173
1/27/2020,170
1/28/2020,191
1/29/2020,200
1/30/2020,168
1/31/2020,179
2/1/2020,199
2/2/2020,172
2/3/2020,123
2/4/2020,141
2/5/2020,157
2/6/2020,149
2/7/2020,135
2/8/2020,155
2/9/2020,120
2/10/2020,182
2/11/2020,141
2/12/2020,162
2/13/2020,183
2/14/2020,187
2/15/2020,170
2/16/2020,170
2/17/2020,140
2/18/2020,165
2/19/2020,157
2/20/2020,166
2/21/2020,205
2/22/2020,150
2/23/2020,135
2/24/2020,154
2/25/2020,170
2/26/2020,193
2/27/2020,155
2/28/2020,166
2/29/2020,193
3/1/2020,172
3/2/2020,171
3/3/2020,173
3/4/2020,164
3/5/2020,171
3/6/2020,197
3/7/2020,164
3/8/2020,150
3/9/2020,168
3/10/2020,170
3/11/2020,188
3/12/2020,153
3/13/2020,187
3/14/2020,158
3/15/2020,181
3/16/2020,144
3/17/2020,127
3/18/2020,145
3/19/2020,114
3/20/2020,105
3/21/2020,158
3/22/2020,126
3/23/2020,148
3/24/2020,141
3/25/2020,152
3/26/2020,149
3/27/2020,144
3/28/2020,127
3/29/2020,148
3/30/2020,156
3/31/2020,148
4/1/2020,194
4/2/2020,153
4/3/2020,177
4/4/2020,142
4/5/2020,177
4/6/2020,163
4/7/2020,147
4/8/2020,180
4/9/2020,144
4/10/2020,177
4/11/2020,163
4/12/2020,136
4/13/2020,130
4/14/2020,146
4/15/2020,146
4/16/2020,128
4/17/2020,196
4/18/2020,180
4/19/2020,147
4/20/2020,147
4/21/2020,183
4/22/2020,191
4/23/2020,163
4/24/2020,166
4/25/2020,170
4/26/2020,158
4/27/2020,178
4/28/2020,187
4/29/2020,165
4/30/2020,151
5/1/2020,238
5/2/2020,186
5/3/2020,150
5/4/2020,186
5/5/2020,156
5/6/2020,155
5/7/2020,184
5/8/2020,163
5/9/2020,169
5/10/2020,154
5/11/2020,177
5/12/2020,166
5/13/2020,176
5/14/2020,196
5/15/2020,197
5/16/2020,199
5/17/2020,189
5/18/2020,190
5/19/2020,184
5/20/2020,189
5/21/2020,173
5/22/2020,169
5/23/2020,186
5/24/2020,168
5/25/2020,166
5/26/2020,180
5/27/2020,196
5/28/2020,262
5/29/2020,245
5/30/2020,326
5/31/2020,364
6/1/2020,307
6/2/2020,274
6/3/2020,224
6/4/2020,178
6/5/2020,193
6/6/2020,198
6/7/2020,149
6/8/2020,162
6/9/2020,138
6/10/2020,179
6/11/2020,152
6/12/2020,188
6/13/2020,167
6/14/2020,199
